id;subject;questionType;question;completed;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;
1001;UX;SC;Wer gilt als Vater des Begriffs User Experience (UX)?;false;Steve Jobs;Donald Norman;Charles Babbage;Steve Wozniak;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1002;UX;MC;Welche der folgenden Methoden werden zur Verbesserung der User Experience genutzt?;false;Usability Testing;Eye-Tracking;Storyboarding;Tagebuchstudien;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1003;UX;DD;Entscheide welche Methoden der Nutzerbedarfsanalyse qualitativ und welche quantitativ sind.;false; Erwartungen;Ermittlung numerischer Werte;Einstellungen;Verhaltensweisen;objektive Befunde: »zählen«;subjektive Befunde: »befragen«;;;;;;2;1;2;2;1;1;;;;;;Quantitative Methoden;Qualitative Methoden ;;;;;;;;;;;;
1004;UX;MC;Welche Aussage ist ein Teil von Usability Testing?;false;Die Überprüfung von Systemkompatibilitäten.;Die Beobachtung der ersten Interaktion von Usern mit neuer Software.,;Die Durchführung von Performance Tests.;Das Auswerten von Tagebuchstudien.;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1005;UX;SC;Wozu wurde Usability Testing entwickelt?;false;Um eine intuitive Steuerung von Software zu ermöglichen.;Um zu testen, ob Software funktioniert.;Um die Laufzeit von Software zu optimieren. ;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1006;UX;SC;Was versteht man unter dem Begriff Storyboarding?;false;Das Erzählen einer Geschichte über das Nutzerverhalten.,;Die sequentielle Aneinanderreihung von Bildern um Abläufe und Abhängigkeiten im Voraus abzubilden.,;Die Sammlung von Geschichten über Anwendungsmöglichkeiten, welche auf einem Board dargestellt werden. ;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;
1007;UX;MC;Welche Vorteile bietet Sketching?;false;Es bietet die Möglichkeit, schnell Konzepte zu erstellen.;Entwickelte Konzepte sind sofort in digitaler Form verfügbar.;Visualisierte Problemstellungen sind besser zu verstehen.;Ergänzungen zu Protokollen von Meetings. ;;;;;;;;1;0;1;1;;;;;;;;;;;;;;;;;;;;;
1008;UX;OD;Ordne die folgenden Schritte des Design Thinking Process aufsteigend nach ihrer Reihenfolge.;false;Empathize (Verstehen);Prototype (Bauen) ;Test (Testen) ;Define (Definieren);Ideate;;;;;;;1;4;5;2;3;;;;;;;;;;;;;;;;;;;;
1009;UX;DD;Entscheide welche Methoden zu welchem Design Thinking Schritt gehören.;false;Idea Sharing;Mockups;Storyboards;Shadowing;Interviews;»Yes and«-Thinking;;;;;;3;1;1;2;2;3;;;;;;Prototype;Empathize;Ideate;;;;;;;;;;;
1010;UX;MC;In welche Kategorien kann man die Methoden der UX-Evaluation einteilen?;false;Implizite Methoden ;Reale Methoden;Visuelle Methoden;Substantielle Methoden;Virtuelle Methoden;Explizite Methoden;Objektive Methoden;Subjektive Methoden;;;;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
1011;UX;DD;Ordne die folgenden Methoden ihrer jeweiligen Kategorie zu.;false;Tagebuchstudien ;Usability Testing;Eye-Tracking;Elektroenzephalografie;Mitarbeiterbefragungen;;;;;;;2;2;1;1;2;;;;;;;Implizite Methoden;Explizite Methoden;;;;;;;;;;;;
1012;UX;SC;Wie verläuft die Blickrichtung von Usern auf Websites typischerweise?;false;Von oben nach unten;Es gibt keine typische Richtung;In F-Form;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1013;UX;SC;Wo sollte das Suchfeld in einem Online Shop platziert sein?;false;oben mittig;oben rechts;unten links;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1014;UX;SC;Wo sollte sich das Logo befinden?;false;oben links ;oben mittig;oben rechts ;an mehreren Stellen;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;
1015;UX;TL;Ordne den deutschen Fachbegriffen ihre englischen Übersetzungen zu.;false;Usability Test ;Consumer Insight;Attention Tracking;User Journey;Wireframe;User-Centered Design;Accessibility;Diary Study;Thinking Aloud;On-site Questionnaire ;;10;3;1;7;5;6;9;8;2;4;;Aufmerksamkeitsmessung;Lautes Denken;Nutzerwissen;Mitarbeiterbefragung;Drahtmodell;Nutzerorientierte Gestaltung;Endverbraucherreise;Tagebuchstudie;Barrierefreiheit;Benutzerfreundlichkeitstest;;;;
