subject;questionType;id;completed;question;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;answers/10;answers/11;answers/12;answers/13;answers/14;answers/15;answers/16;answers/17;answers/18;answers/19;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;correct/10;correct/11;correct/12;correct/13;correct/14;correct/15;correct/16;correct/17;correct/18;correct/19;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;SC;1001;false;Welche dieser Funktionen ist keine Basisfunktion des Kernels?;open;write;move;print;read;;;;;;;;;;;;;;;;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;DD;1002;false;Unterscheide die monolithische Betriebssystemsarchitektur.;Answer1;Anwendungsprogramme, Systemaufruf, Dateisystem und Basisfunktionen sind in jeweils einzelne Schichten aufgeteilt und alle Teil des Betriebssystems. Ziel ist eine Kapselung hardwareunabhängiger Teile des Systems.;Alle Systemdienste werden auf mehrere Programme verteilt, welche bei Anwendung in den Prozessor geladen werden. Nur die Basisfunktionen des Betriebssystems sind dauerhaft im Prozessor verfügbar.;Answer4;Answer5;Answer6;Answer7;Answer8;Answer9;;;;;;;;;;;;1;2;;;;;1;2;0;;;;;;;;;;;;monolithisch;modularisiert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;MC;1003;false;Welchen Zustand kann ein Prozess annehmen?;;Blockiert;alt;gesättigt;terminiert;neu;;;;;;;;;;;;;;;1;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;DD;1004;false;Unterscheide zwischen abhängigen und unabhängigen Prozessabläufen.;Nutzung gemeinsamer Speicherbereiche oder Peripheriegeräte;parallel ausführbare Benutzeraufträge, die sich nicht gegenseitig beeinflussen;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;abhängig;unabhängig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;MC;1005;false;Wodurch kann ein Deadlock ausgelöst werden?;Prozess;Software;Ressourcenanfrage;Trojaner;;;;;;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;SC;1006;false;Welcher dieser Begriffe ist nicht dazu geeignet die Speicherverwaltung zu erklären?;Logischer Adressraum;Speicher;Physikalischer Adressraum;Prozess;Kernel;;;;;;;;;;;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;OD;1007;false;Wie läuft Paging chronologisch ab?;Logischer Adressraum wird in Seiten aufgeteilt;Nach Zuordnung wird der Prozess im Rahmen des Hauptspeichers ausgeführt;Jede Seite erhält eine Zuordnung zu einem Rahmen;Hauptspeicher wird in Blöcke fester Größen eingeteilt;;;;;;;;;;;;;;;;;4;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;MC;1008;false;Wähle die Ziele einer optimalen Prozessorverwaltung aus.;Fairness bei der Abarbeitung von Prozessen;Stapelbetrieb;Prozessdurchsatz;Abnutzung des Prozessors verhindern;;;;;;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;OD;1009;false;Ordne die Begriffe nach dem Ebenenmodell von links nach rechts! Beginne mit der obersten Ebene.;BS-Ebene;höhere Programmiersprachen;digitale Logikebene;Assemblersprachen;Mikroprogramm-Ebene;koventionelle Maschinenebene;;;;;;;;;;;;;;;2;4;1;6;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;MC;1010;false;Was sind Ziele der Sicherheitsmaßnahmen in einem Betriebssystem?;Vetraulichkeit von Daten;Schutz vor physischen Schäden am Computer;Schutz vor Missbrauch und kriminellen Handlungen;Schutz vor jugendgefährdenden Medien;;;;;;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;TQ;1011;false;Ein System ist…;Ein System ist eine;;Anordnung von;;. Ein Betriebssystem ist die Menge der;;eines Rechners, die insbesondere Anwendungsprogramme, in der Regel Software;;und;;.;;;;;;;;;;;4;;2;;1;;5;;3;;;;;;;;;;;steuert;Prozessen;abgegrenzte;überwacht;Programme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;DD;1012;false;Unterscheide die monolithische Betriebssystemarchitektur von der modularisierten Architektur.;Anwendungsprogramme, Systemaufruf, Dateisystem und Basisfunktionen sind in jeweils einzelne Schichten aufgeteilt und alle Teil des Betriebssystems. Ziel ist eine Kapselung hardwareunabhängiger Teile des Systems.;Alle Systemdienste werden auf mehrere Programme verteilt, welche bei Anwendung in den Prozessor geladen werden. Nur die Basisfunktionen des Betriebssystems sind dauerhaft im Prozessor verfügbar.;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;monolithisch;modularisiert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;TQ;1013;false;Erläutere den Begriff Zombieprozess.;Ein Zombieprozess ist ein Prozess, welcher schon;;aber nicht;;wurde. Die Bearbeitung des Prozesses ist bereits abgeschlossen, allerdings wartet der;;och auf Einträge.;;;;;;;;;;;;;;;2;;3;;1;;;;;;;;;;;;;;;terminiert;Prozessdeskriptor;beendet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;TQ;1014;false;Was ist eine Semaphore? Fülle die Lücken mit den korrekten Begriffen.;Eine Semaphore kann als;;betrachtet werden, die einen;;Wert hat. Mit Hilfe dieser Semaphore wird eine bestimmte;;auf ihre Verfügbarkeit überwacht.;;;;;;;;;;;;;;;3;;2;;1;;;;;;;;;;;;;;;kritische Ressource;ganzzahligen;Variable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;TQ;1015;false;Was ist eine Shell? Fülle die Lücken aus.;Eine Shell ist eine;;. Es ist der Teil eines;;der Kommandis einliest, interpretiert und die;;;.;;;;;;;;;;;;;;2;;3;;1;;;;;;;;;;;;;;;Ausführung einer Aktivität;Kommandozeilen-Schnittstelle;Betriebssystems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betriebssysteme;TL;1016;false;Ordne den folgenden Begriffen die korrekte Übersetzung zu.;deadlock;linker;concurrency;processor management;Kernel;batch processing;system interface;operating system;address space;condition;;;;;;;;;;;7;4;6;5;2;3;8;1;10;9;;;;;;;;;;;Betriebssystem;Betriebssystemkern;Stapelverarbeitung;Binder;Prozessorverwaltung;Nebenläufigkeit;Verklemmung;Systemschnittstelle;Zustand;Adressraum;;;;;;;;;;;;;;;;;;;;;;;;;;
